entity_type,entity_id,classification,quarantine_status,mapping_status,organization_candidate_count,human_decision,allowed_human_decisions,target_organization_id,evidence_reference,active_inactive_disposition,decision_reason,reviewer_1,reviewer_2,reviewed_at,decision_status,decision_version,predecessor_decision_id,decision_id
ExpertConsoleNotification,64,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,65,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,66,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,67,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,68,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,69,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,70,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,71,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,72,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,73,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,74,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,75,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertConsoleNotification,76,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertQuote,4,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertQuote,5,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ExpertQuote,6,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,8,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,9,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,10,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
